type,x,y
fp,359520.57022752817,5625599.380487573
fp,359526.94472989754,5625590.563345454
fp,359536.0232684299,5625578.913960801
fp,359542.26109384105,5625568.164483437
fp,359542.1406984354,5625563.694810472
fp,359540.7933367122,5625559.2581873005
fp,359549.07584675,5625548.442517688
fp,359556.9826413606,5625538.872040739
fp,359562.822650739,5625528.544993321
fp,359568.22750716604,5625516.9946141
fp,359575.77128311206,5625497.60911233
fp,357659.70831168466,5625530.36539622
fp,360609.9546409622,5624658.703660801
fp,360600.98402498104,5624619.611085048
fp,360606.69910137495,5624616.376302136
fp,360612.8155645081,5624621.030640315
fp,357657.83377687563,5625479.789460249
fp,357802.7681415705,5625522.4566503065
fp,360033.6584757584,5624477.228971214
fp,360052.9782859649,5624457.305841848
fp,357252.75496472954,5625356.2161691
fp,357236.74866443896,5625352.581900507
fp,357219.3318969252,5625339.962401651
fp,357206.09923356306,5625344.842232839
fp,357204.3891890785,5625347.0810522875
fp,357204.4317703732,5625350.440203163
fp,357217.3331449261,5625388.619321258
fp,357681.8043539582,5625450.761776502
fp,359862.9973188728,5624563.246655756
fp,359881.2121527336,5624565.283068037
fp,358444.68496182014,5625012.833017048
fp,360819.2497078696,5624600.419560695
fp,360839.546386598,5624569.936574667
fp,358837.6867317386,5624790.640091007
fp,358846.2205198208,5624784.155926307
fp,358856.91261094104,5624767.187647287
fp,358864.52742290543,5624752.56138189
fp,358871.0934823283,5624744.038687042
fp,358870.50600250124,5624741.628961307
fp,360798.0620702299,5624628.979274163
fp,359388.49956421665,5625424.067861388
fp,359274.6549205065,5625347.839009147
fp,360123.8048450047,5624164.27927296
fp,360123.1528121023,5624159.178531848
fp,360110.13457496377,5624147.243862851
fp,360104.62237317243,5624147.525194435
fp,360094.0381137471,5624159.236027113
fp,358900.83296660485,5624320.475226912
fp,358818.41568676854,5624417.359975495
fp,358856.75669444917,5624597.887929961
fp,358879.77130864945,5624567.568062926
fp,358945.8848118492,5624566.291647739
fp,358761.8811704135,5624568.110688292
fp,358771.2428966304,5624593.237236234
fp,358770.9540335584,5624600.555306513
fp,358761.8259401694,5624623.156027658
fp,358723.2422685337,5624674.838607733
fp,358689.7189090905,5624711.89742324
fp,358676.90838074824,5624721.257148223
fp,358359.02321828797,5625621.166849154
fp,358377.8528255613,5625603.586943932
fp,358819.265682939,5626012.085055778
fp,358818.0795601147,5626006.58718728
fp,358768.2220851956,5625980.5768503705
fp,358762.8848024606,5625985.160998631
fp,358753.7713269718,5626003.767004232
fp,358739.89767301636,5626026.89706183
fp,358730.3029071995,5626046.484183563
fp,358731.24999605305,5626050.708937532
fp,360056.1248202119,5624449.0990180895
fp,360058.54302304785,5624465.835287303
fp,359318.0227457372,5625517.1851873435
fp,359466.3454857238,5625570.510324877
fp,359496.7239303793,5625585.947746614
fp,357713.42281442706,5625498.467564341
fp,357689.3448709381,5625491.235687921
fp,359783.2704399708,5624735.737686638
fp,359483.81576681766,5625052.394050902
fp,359411.9823256982,5625145.190245965
fp,359325.4516804322,5625274.87947319
fp,359505.92231625516,5625012.4212723235
fp,359502.12379083777,5625273.0096494835
fp,359735.12018356787,5625282.515215677
fp,359422.6462565718,5625378.729585837
fp,359583.45344825403,5625165.449828432
fp,359242.62327366555,5625530.580251582
fp,359259.63116105075,5625492.713275727
fp,359794.99694971275,5624756.351624635
fp,359816.9695195826,5624775.855700111
fp,357304.39593739924,5625469.832416743
fp,357358.9868488108,5625418.679670625
fp,357358.09882432234,5625423.366116946
fp,357864.348832781,5625283.0533747235
fp,357860.2777057394,5625281.272777865
fp,359921.920163478,5624612.768449399
fp,359917.21561428707,5624619.715399629
fp,359763.43636554887,5624720.181827118
fp,359879.17535742413,5624593.2433069935
fp,359916.91781175556,5624604.947269967
fp,359786.16500845784,5624748.110558032
fp,359755.92774251767,5625096.58596879
fp,358631.7355306727,5624747.204873432
fp,358582.47527788405,5624766.854833589
fp,358769.0650121759,5624567.281953722
fp,358846.98883350333,5624589.8183474755
fp,358855.19242564606,5624595.115202033
fp,358859.3374437812,5624602.491312989
fp,358860.12223009195,5624611.148905927
fp,358854.91494649963,5624626.333113226
fp,358848.71428247995,5624632.45369176
fp,358829.67431495956,5624639.845270285
fp,358821.4765933397,5624646.498381905
fp,358815.15634337714,5624659.932487252
fp,358812.76564475615,5624670.4340507835
fp,358816.2192576718,5624694.507779731
fp,358815.3708310075,5624706.447449964
fp,358806.44332592434,5624722.377768113
fp,358775.65648339014,5624752.596903286
fp,358679.21438420773,5624819.910957687
fp,358628.556808108,5624851.782138647
fp,358579.743661874,5624874.869342112
fp,358566.48857895785,5624877.442985553
fp,358559.90852139797,5624874.4948090445
fp,358549.5187824116,5624857.808297395
fp,358544.96845889976,5624857.097199859
fp,358730.2200226621,5624880.082222306
fp,358776.89919520274,5624848.019339859
fp,358806.6795376762,5624809.059579331
fp,358808.4070610553,5624800.656654242
fp,359928.70913404314,5624376.446334319
fp,358887.97305328376,5624379.983718053
fp,358867.93693169486,5624427.814224528
fp,358855.8569200907,5624446.21082945
fp,358515.6804151529,5624863.132300927
fp,357878.3051819934,5625641.312481014
fp,357891.0203428448,5625652.927263572
fp,355539.0906654926,5626002.208370073
fp,355528.2337520234,5626012.501291945
fp,355516.6890358939,5626023.436413863
fp,355502.6651578235,5626034.284493426
fp,359193.5145244662,5625463.899764822
fp,357986.3606362859,5625127.234057026
fp,358622.02889224375,5624928.360371735
fp,358286.10154295113,5625058.55517838
