zone_id,perimeter,perimeter_octi,area,num_holes,area_holes,turns,compactness,complexity,nn,aov,fov,convexity,message,bin00,bin01,bin02,bin03,bin04,bin05,bin06,bin07,bin08,bin09,bin10,bin11,bin12,bin13,bin14,bin15,bin16
0,183.2527467908472,0.0,6544.65604957196,0,0.0,7,2.44903902366715,0.0,0.5,-0.6869938368852828,1.0,0.0713672774601454,null,0,0,0,0,0,0,1,1,0,1,0,1,0,2,1,0,0,
0,2300.294958544308,0.0,122102.27612605199,1,12.734568177011154,75,0.28997901383829305,0.2364900601957906,0.6111111111111112,0.22126407827185923,0.9036732205456485,0.38264861216697105,null,0,0,0,5,10,5,10,14,1,3,2,2,0,18,5,2,0,
0,10875.519526908327,0.0,2709978.6664502034,3,108.97553096949603,292,0.2879225705718274,0.2580664963552251,0.629757785467128,0.31677399224907055,0.8698391346488907,0.1881628205873018,null,1,2,2,24,26,38,55,41,17,3,3,4,2,83,14,3,1,
0,478.41869489634155,0.0,9617.642161565,0,0.0,15,0.5280343732040229,0.09112841307060145,0.6666666666666666,0.06790146103857149,0.7901234567901235,0.24103991688542323,null,0,0,0,2,0,1,2,4,0,0,0,0,0,6,1,0,0,
0,1000.9213349004743,0.0,39482.632389925864,0,0.0,30,0.49524040651224,0.12780163202195724,0.6666666666666666,0.13630891250541338,0.7901234567901235,0.2082046835494673,null,0,0,1,2,2,3,3,10,3,0,0,0,0,10,1,1,0,
0,379.53915254121597,0.0,8121.748305065887,0,0.0,14,0.7085103900693374,0.014565996314216744,0.6363636363636364,0.008631757305767604,0.8567720784099447,0.043248186982312774,null,0,0,0,3,1,1,0,2,0,1,0,0,0,4,1,2,0,
0,11245.664445828637,11225.471758163512,2368155.653636746,4,662.6906749237565,254,0.23531513819073904,0.32445989321324614,0.5179282868525896,0.33513449705555215,0.9974302652529977,0.2852063048920331,null,0,0,5,0,13,2,107,0,2,1,105,1,14,0,0,0,0,
0,2210.5605571089905,2210.5605571089905,107052.30791279854,0,0.0,45,0.2752967378775083,0.23631040624297364,0.42857142857142855,0.1924780620326617,0.9596001665972511,0.4427441096434352,null,0,0,0,0,3,0,15,0,0,0,26,0,0,0,1,0,0,
0,1073.576600173605,1073.576600173605,44173.87494968387,0,0.0,35,0.4816252943729955,0.17881719280328806,0.46875,0.1837818597086462,0.9922027587890625,0.16469049114322745,null,0,0,0,0,1,0,14,0,0,0,16,0,4,0,0,0,0,
0,372.8118886336657,372.8118886336657,6683.024969960721,0,0.0,10,0.6042316101622556,0.009069664994103336,0.2857142857142857,0.00955081629922462,0.6663890045814244,0.019890089104195333,null,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,
0,274.36741713778315,274.36741713778315,4008.6811031563198,0,0.0,8,0.6691851625945605,0.01860526711267431,0.2,0.013091194135198452,0.40959999999999996,0.0715777230922624,null,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,
0,477.56853044263823,477.56853044263823,15797.966980023544,0,0.0,11,0.8704416502339885,0.010988440635947158,0.25,0.01121434375555637,0.5625,0.029709929729733957,null,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,0,
0,11245.664445828637,11225.471758163512,2368155.653636746,4,662.6906749237565,254,0.23531513819073904,0.32445989321324614,0.5179282868525896,0.33513449705555215,0.9974302652529977,0.2852063048920331,null,0,0,5,0,13,2,107,0,2,1,105,1,14,0,0,0,0,
0,2210.5605571089905,2210.5605571089905,107052.30791279854,0,0.0,45,0.2752967378775083,0.23631040624297364,0.42857142857142855,0.1924780620326617,0.9596001665972511,0.4427441096434352,null,0,0,0,0,3,0,15,0,0,0,26,0,0,0,1,0,0,
0,1073.576600173605,1073.576600173605,44173.87494968387,0,0.0,35,0.4816252943729955,0.17881719280328806,0.46875,0.1837818597086462,0.9922027587890625,0.16469049114322745,null,0,0,0,0,1,0,14,0,0,0,16,0,4,0,0,0,0,
0,372.8118886336657,372.8118886336657,6683.024969960721,0,0.0,10,0.6042316101622556,0.009069664994103336,0.2857142857142857,0.00955081629922462,0.6663890045814244,0.019890089104195333,null,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,
0,274.36741713778315,274.36741713778315,4008.6811031563198,0,0.0,8,0.6691851625945605,0.01860526711267431,0.2,0.013091194135198452,0.40959999999999996,0.0715777230922624,null,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,
0,477.56853044263823,477.56853044263823,15797.966980023544,0,0.0,11,0.8704416502339885,0.010988440635947158,0.25,0.01121434375555637,0.5625,0.029709929729733957,null,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,0,0,
